|          |Low Saturn|     Rings|     Mimas|Encelladus|    Tethys|      Rhea|     Titan|   Iaeptus|    Phoebe|
|Low Saturn|          |    7.152 |    9.770 |   10.657 |   11.295 |   12.577 |    9.573 |   12.008 |   11.812 |
|     Rings|    3.263 |          |    3.413 |    4.516 |    5.522 |    7.655 |    6.214 |    8.678 |    8.660 |
|     Mimas|    3.759 |    3.413 |          |    0.933 |    1.748 |    3.980 |    3.673 |    6.126 |    6.257 |
|Encelladus|    4.024 |    4.516 |    0.933 |          |    0.996 |    3.050 |    3.146 |    5.597 |    5.789 |
|    Tethys|    4.027 |    5.522 |    1.748 |    0.996 |          |    2.002 |    2.421 |    4.834 |    5.092 |
|      Rhea|    4.028 |    7.655 |    3.980 |    3.050 |    2.002 |          |    1.127 |    3.418 |    3.868 |
|     Titan|    3.298 |    9.258 |    6.523 |    5.928 |    5.127 |    3.666 |          |    3.504 |    3.607 |
|   Iaeptus|    1.889 |    8.678 |    6.126 |    5.597 |    4.834 |    3.418 |    0.968 |          |    1.460 |
|    Phoebe|    1.808 |   44.683 |   34.430 |   31.616 |   28.368 |   21.657 |    2.354 |    8.658 |          |
